jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
14,SUWACHIRAT Phanuruj,THA,False,F,0,1,1,2,8,2.0,0:00,0.0,0:00,3,0:00,4,0:00,1,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
17,LUCKANATINAKORN Nathaphat,THA,False,F,0,1,1,2,7,1.0,0:00,0.0,0:00,3,0:00,0,0:00,4,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
24,LIMPINPHET Chanokchon,THA,False,F,1,0,1,0,4,2.0,0:00,0.0,0:00,0,0:00,1,0:00,3,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
8,SUKWIBOON Rakchai,THA,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
9,DHIRANUSORNKIT Purich,THA,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
10,JARADWUTTIPREEDA Krittapad,THA,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
16,INGKHARRATPHITHAKON Chonlaphat,THA,False,F,1,0,1,0,2,1.0,0:00,0.0,0:00,0,0:00,0,0:00,2,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
19,SIGEL Mathew,THA,False,F,0,0,0,4,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
7,AEKKASEMNARONG Yingphan,THA,False,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
22,VATTANAPANYAKUL Archavin,THA,False,F,0,1,1,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
23,VATANAPANYAKUL Araya,THA,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
1,CHAROENSUK Sujin,THA,False,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
25,UNGKULPATTANASUK Pattarapol,THA,False,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6464/1-bih-vs-tha,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6464/1-bih-vs-tha
8,ALKAABI Mohamed,UAE,True,F,0,1,1,0,2,1.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
16,AL SHAMSI Mohammed,UAE,True,D,0,0,0,0,1,1.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
18,AL NUAIMI Saeed,UAE,True,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
21,SAUKO Vitali,UAE,True,D,0,0,0,0,2,1.0,0:00,0.0,0:00,0,0:00,2,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
23,AL MAZROUEI Mubarak,UAE,True,F,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
5,AL MAHROOQI Khalifa,UAE,True,F,1,1,2,0,6,9.0,0:00,0.0,0:00,2,0:00,2,0:00,2,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
7,AL DHAHERI Juma,UAE,True,F,2,2,4,0,7,8.0,0:00,0.0,0:00,3,0:00,3,0:00,1,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
11,REM Nils,UAE,True,D,1,1,2,0,1,6.0,0:00,0.0,0:00,1,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
17,ALAMERI Saif,UAE,True,D,0,0,0,0,0,5.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
19,ZAINUTDINOV Artur,UAE,True,F,5,3,8,2,8,9.0,0:00,0.0,0:00,4,0:00,4,0:00,0,0:00,,,,,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/statistics/6466/3-uae-vs-hkg,https://www.iihf.com//en/events/2019/wmiiiq/gamecenter/playbyplay/6466/3-uae-vs-hkg
