jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,statistics_url,game_url,ts_4,tot_4,ts_5,tot_5
4,ALIC Nermin,BIH,False,D,0,0,0,0,0,-3.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
8,DRNDA Adi,BIH,False,F,0,0,0,0,2,-6.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
10,PILAV Admir,BIH,False,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
16,MISKIC Denny,BIH,False,F,0,1,1,0,1,-5.0,0:00,0.0,0:00,0,0:00,1,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
14,KREHIC Tarik,BIH,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
15,MUHIC Benjamin,BIH,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
21,MUSIC Samir,BIH,False,F,0,0,0,0,0,1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
1,AHMETOVSKI Karim,BIH,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
20,PASOVIC Dino,BIH,False,GK,0,0,0,0,0,,,,,0,,0,,0,,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29789/1-rsa-vs-bih,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29789/1-rsa-vs-bih,,,,
5,OMER Mirza,BIH,True,F,1,0,1,0,5,-4.0,0:00,0.0,0:00,3,0:00,0,0:00,2,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
9,HASOVIC Ermin,BIH,True,D,0,0,0,0,1,-5.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
17,CORDALIJA Dino,BIH,True,F,0,1,1,0,0,-6.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
19,VIDEN Emir,BIH,True,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/statistics/29790/2-bih-vs-tha,https://www.iihf.com//en/events/2022/wmiiib/gamecenter/playbyplay/29790/2-bih-vs-tha,,,,
