jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,statistics_url,game_url,ts_5,tot_5
7,DOSA Csaba,ROU,False,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
15,SANDOR SZEKELY Otto,ROU,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
16,LAZAR Kain,ROU,False,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
3,TODOR Csaba Rajmond,ROU,False,F,0,0,0,0,3,1.0,0:00,0.0,0:00,3,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
11,GECSE Oliver,ROU,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,2,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
17,SILLO Huba,ROU,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
19,PETRICA Dragos,ROU,False,F,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
24,NAGY GALACZI Geza,ROU,False,D,0,0,0,0,0,0.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,0.0,0:00,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
1,ADORJAN Ors,ROU,False,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
20,SZOPOS Magor,ROU,False,GK,0,0,0,0,0,,,,,0,,0,,0,,0.0,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6288/1-kor-vs-rou,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6288/1-kor-vs-rou,,
8,SARMIENTO Aron,ESP,True,D,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
9,FERNANDEZ Pablo,ESP,True,D,0,0,0,0,1,0.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
18,CAPILLAS Jaime,ESP,True,F,0,0,0,0,0,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,0,0:00,,,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/statistics/6289/2-esp-vs-est,https://www.iihf.com//en/events/2019/wm20iia/gamecenter/playbyplay/6289/2-esp-vs-est,,
