jersey_number,name,team,home,pos,g,a,p,pim,ts,+/-,tot,shf,avg,ts_1,tot_1,ts_2,tot_2,ts_3,tot_3,ts_4,tot_4,ts_5,tot_5,statistics_url,game_url
25,GABRIELE Eline,NED,True,GK,0,0,0,2,0,,,,,0,,0,,0,,0.0,,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
7,SCHAFZAHL Theresa,AUT,False,F,0,0,0,0,8,0.0,0:00,0.0,0:00,2,0:00,3,0:00,2,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
10,MEIXNER Anna,AUT,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,0,0:00,1,0:00,1,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
11,HOFBAUER Emma,AUT,False,F,0,0,0,0,2,0.0,0:00,0.0,0:00,1,0:00,1,0:00,0,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
12,FAZOKAS Annika,AUT,False,D,0,0,0,0,5,0.0,0:00,0.0,0:00,1,0:00,2,0:00,1,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
23,MATZKA Antonia,AUT,False,D,0,0,0,2,6,0.0,0:00,0.0,0:00,1,0:00,1,0:00,3,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
13,GRASCHER Tamara,AUT,False,F,0,0,0,0,4,-1.0,0:00,0.0,0:00,0,0:00,2,0:00,2,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
16,BEITER Eva,AUT,False,F,0,1,1,0,5,-1.0,0:00,0.0,0:00,1,0:00,2,0:00,2,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
17,WITTICH Charlotte,AUT,False,D,1,0,1,0,6,-1.0,0:00,0.0,0:00,0,0:00,4,0:00,1,0:00,1.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
21,DAUBOCK Lena,AUT,False,F,0,0,0,0,1,-1.0,0:00,0.0,0:00,0,0:00,0,0:00,1,0:00,0.0,0:00,,,https://www.iihf.com//en/events/2022/wwia/gamecenter/statistics/29899/1-ned-vs-aut,https://www.iihf.com//en/events/2022/wwia/gamecenter/playbyplay/29899/1-ned-vs-aut
